file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
adapter-removed/C68.trimmed_2.fastq	FASTQ	DNA	124444	27873143	3	224.0	224
adapter-removed/C69.trimmed_1.fastq	FASTQ	DNA	131263	29531251	14	225.0	225
adapter-removed/C69.trimmed_2.fastq	FASTQ	DNA	131263	29399077	7	224.0	224
adapter-removed/C6.trimmed_1.fastq	FASTQ	DNA	125068	28138224	7	225.0	225
adapter-removed/C6.trimmed_2.fastq	FASTQ	DNA	125068	28008260	2	223.9	224
adapter-removed/C70.trimmed_1.fastq	FASTQ	DNA	133301	29989935	3	225.0	225
adapter-removed/C70.trimmed_2.fastq	FASTQ	DNA	133301	29857266	37	224.0	224
adapter-removed/C71.trimmed_1.fastq	FASTQ	DNA	147870	33267644	62	225.0	225
adapter-removed/C71.trimmed_2.fastq	FASTQ	DNA	147870	33120460	39	224.0	224
adapter-removed/C72.trimmed_1.fastq	FASTQ	DNA	132266	29757315	49	225.0	225
adapter-removed/C72.trimmed_2.fastq	FASTQ	DNA	132266	29625501	47	224.0	224
adapter-removed/C73.trimmed_1.fastq	FASTQ	DNA	143740	32337347	7	225.0	225
adapter-removed/C73.trimmed_2.fastq	FASTQ	DNA	143740	32194177	3	224.0	224
adapter-removed/C74.trimmed_1.fastq	FASTQ	DNA	143804	32352431	15	225.0	225
adapter-removed/C74.trimmed_2.fastq	FASTQ	DNA	143804	32209103	3	224.0	224
adapter-removed/C75.trimmed_1.fastq	FASTQ	DNA	127538	28693656	89	225.0	225
adapter-removed/C75.trimmed_2.fastq	FASTQ	DNA	127538	28567138	16	224.0	224
adapter-removed/C76.trimmed_1.fastq	FASTQ	DNA	141703	31880808	72	225.0	225
adapter-removed/C76.trimmed_2.fastq	FASTQ	DNA	141703	31737584	6	224.0	224
adapter-removed/C77.trimmed_1.fastq	FASTQ	DNA	129998	29245728	9	225.0	225
adapter-removed/C77.trimmed_2.fastq	FASTQ	DNA	129998	29112328	1	223.9	224
adapter-removed/C78.trimmed_1.fastq	FASTQ	DNA	116858	26290728	58	225.0	225
adapter-removed/C78.trimmed_2.fastq	FASTQ	DNA	116858	26173683	39	224.0	224
adapter-removed/C79.trimmed_1.fastq	FASTQ	DNA	111754	25141926	6	225.0	225
adapter-removed/C79.trimmed_2.fastq	FASTQ	DNA	111754	25029695	41	224.0	224
adapter-removed/C7.trimmed_1.fastq	FASTQ	DNA	114101	25669608	7	225.0	225
adapter-removed/C7.trimmed_2.fastq	FASTQ	DNA	114101	25554951	4	224.0	224
adapter-removed/C80.trimmed_1.fastq	FASTQ	DNA	138146	31079961	10	225.0	225
adapter-removed/C80.trimmed_2.fastq	FASTQ	DNA	138146	30942887	36	224.0	224
adapter-removed/C81.trimmed_1.fastq	FASTQ	DNA	145830	32808502	5	225.0	225
adapter-removed/C81.trimmed_2.fastq	FASTQ	DNA	145830	32662161	7	224.0	224
adapter-removed/C82.trimmed_1.fastq	FASTQ	DNA	110423	24843490	5	225.0	225
adapter-removed/C82.trimmed_2.fastq	FASTQ	DNA	110423	24732833	41	224.0	224
adapter-removed/C83.trimmed_1.fastq	FASTQ	DNA	134150	30181363	37	225.0	225
adapter-removed/C83.trimmed_2.fastq	FASTQ	DNA	134150	30047525	37	224.0	224
adapter-removed/C84.trimmed_1.fastq	FASTQ	DNA	119331	26846941	62	225.0	225
adapter-removed/C84.trimmed_2.fastq	FASTQ	DNA	119331	26728444	41	224.0	224
adapter-removed/C85.trimmed_1.fastq	FASTQ	DNA	104549	23521195	21	225.0	225
adapter-removed/C85.trimmed_2.fastq	FASTQ	DNA	104549	23417082	5	224.0	224
adapter-removed/C86.trimmed_1.fastq	FASTQ	DNA	111135	25003770	10	225.0	225
adapter-removed/C86.trimmed_2.fastq	FASTQ	DNA	111135	24893101	41	224.0	224
adapter-removed/C87.trimmed_1.fastq	FASTQ	DNA	90756	20418921	36	225.0	225
adapter-removed/C87.trimmed_2.fastq	FASTQ	DNA	90756	20327216	41	224.0	224
adapter-removed/C88.trimmed_1.fastq	FASTQ	DNA	110787	24924161	0	225.0	225
adapter-removed/C88.trimmed_2.fastq	FASTQ	DNA	110787	24813747	14	224.0	224
adapter-removed/C89.trimmed_1.fastq	FASTQ	DNA	126523	28465213	8	225.0	225
adapter-removed/C89.trimmed_2.fastq	FASTQ	DNA	126523	28337151	37	224.0	224
adapter-removed/C8.trimmed_1.fastq	FASTQ	DNA	111892	25172763	8	225.0	225
adapter-removed/C8.trimmed_2.fastq	FASTQ	DNA	111892	25059540	3	224.0	224
adapter-removed/C90.trimmed_1.fastq	FASTQ	DNA	148479	33404756	4	225.0	225
adapter-removed/C90.trimmed_2.fastq	FASTQ	DNA	148479	33250709	3	223.9	224
adapter-removed/C91.trimmed_1.fastq	FASTQ	DNA	131165	29509149	31	225.0	225
adapter-removed/C91.trimmed_2.fastq	FASTQ	DNA	131165	29370202	3	223.9	224
adapter-removed/C92.trimmed_1.fastq	FASTQ	DNA	82579	18579224	96	225.0	225
adapter-removed/C92.trimmed_2.fastq	FASTQ	DNA	82579	18497066	45	224.0	224
adapter-removed/C93.trimmed_1.fastq	FASTQ	DNA	61290	13788511	24	225.0	225
adapter-removed/C93.trimmed_2.fastq	FASTQ	DNA	61290	13728189	4	224.0	224
adapter-removed/C94.trimmed_1.fastq	FASTQ	DNA	129503	29136509	46	225.0	225
adapter-removed/C94.trimmed_2.fastq	FASTQ	DNA	129503	29007613	58	224.0	224
adapter-removed/C95.trimmed_1.fastq	FASTQ	DNA	145818	32805752	35	225.0	225
adapter-removed/C95.trimmed_2.fastq	FASTQ	DNA	145818	32661485	34	224.0	224
adapter-removed/C96.trimmed_1.fastq	FASTQ	DNA	140775	31671306	34	225.0	225
adapter-removed/C96.trimmed_2.fastq	FASTQ	DNA	140775	31531728	41	224.0	224
adapter-removed/C97.trimmed_1.fastq	FASTQ	DNA	113542	25544656	14	225.0	225
adapter-removed/C97.trimmed_2.fastq	FASTQ	DNA	113542	25431871	55	224.0	224
adapter-removed/C98.trimmed_1.fastq	FASTQ	DNA	126113	28373384	14	225.0	225
adapter-removed/C98.trimmed_2.fastq	FASTQ	DNA	126113	28246924	4	224.0	224
adapter-removed/C99.trimmed_1.fastq	FASTQ	DNA	100549	22621427	55	225.0	225
adapter-removed/C99.trimmed_2.fastq	FASTQ	DNA	100549	22521353	41	224.0	224
adapter-removed/C9.trimmed_1.fastq	FASTQ	DNA	126699	28503249	8	225.0	225
adapter-removed/C9.trimmed_2.fastq	FASTQ	DNA	126699	28377255	12	224.0	224
